測定局コード,日付,時,SO2(ppm),NO(ppm),NO2(ppm),NOx(ppm),CO(ppm),Ox(ppm),NMHC(ppmC),CH4(ppmC),THC(ppmC),SPM(mg/m3),PM2.5(μg/m3),SP(mg/m3),WD(16Dir),WS(m/s),TEMP(℃),HUM(％)
13113010,2023/1/1,1,,0,0.007,0.007,,0.034,,,,0.009,3,,W,1.8,6.6,44.9
13113010,2023/1/1,2,,0,0.004,0.004,,0.037,,,,0.003,2,,W,2.5,6.8,36.1
13113010,2023/1/1,3,,0,0.002,0.002,,0.04,,,,0.006,4,,W,2.6,6.4,33.3
13113010,2023/1/1,4,,0,0.002,0.002,,0.039,,,,0.007,5,,W,0.9,6,34.7
13113010,2023/1/1,5,,0,0.004,0.004,,0.037,,,,0.006,4,,SSE,0.6,5.7,34.8
13113010,2023/1/1,6,,0,0.004,0.004,,0.038,,,,0.005,5,,WNW,0.6,5.9,33.2
13113010,2023/1/1,7,,0,0.003,0.003,,0.039,,,,0.006,6,,W,2.4,6.1,31.4
13113010,2023/1/1,8,,0,0.003,0.003,,0.04,,,,0.01,5,,WSW,1,6.6,31.5
13113010,2023/1/1,9,,0.001,0.004,0.005,,0.04,,,,0.008,6,,SSE,1.2,7.9,28.2
13113010,2023/1/1,10,,0.003,0.008,0.011,,0.039,,,,0.009,6,,SE,1.1,9.1,26
13113010,2023/1/1,11,,0.004,0.008,0.012,,0.039,,,,0.008,7,,SW,1.5,9.9,23.9
13113010,2023/1/1,12,,0.004,0.009,0.013,,0.04,,,,0.007,6,,SE,1.2,11.1,22.8
13113010,2023/1/1,13,,0.004,0.009,0.013,,0.04,,,,0.006,7,,WSW,2,11.7,22
13113010,2023/1/1,14,,0.004,0.009,0.013,,0.039,,,,0.008,6,,SSE,1.1,11.9,23.3
13113010,2023/1/1,15,,0.006,0.015,0.021,,0.037,,,,0.012,7,,S,0.9,10.9,27.3
13113010,2023/1/1,16,,0.003,0.012,0.015,,0.037,,,,0.007,4,,S,0.9,10.1,28.9
13113010,2023/1/1,17,,0.003,0.017,0.02,,0.033,,,,0.006,2,,CALM,0.1,9.7,27.7
13113010,2023/1/1,18,,0.003,0.019,0.022,,0.03,,,,0.006,6,,SSE,0.5,9.4,29
13113010,2023/1/1,19,,0.001,0.015,0.016,,0.031,,,,0.005,6,,CALM,0.1,9.5,28.9
13113010,2023/1/1,20,,0,0.016,0.016,,0.028,,,,0.007,6,,WNW,0.5,8.4,33.4
13113010,2023/1/1,21,,0,0.025,0.025,,0.019,,,,0.009,10,,NW,0.7,8.3,35.2
13113010,2023/1/1,22,,0.002,0.04,0.042,,0.006,,,,0.011,11,,W,0.9,7.2,39.7
13113010,2023/1/1,23,,0.002,0.036,0.038,,0.01,,,,0.009,10,,N,0.5,8.5,37
13113010,2023/1/1,24,,0.006,0.039,0.045,,0.005,,,,0.012,14,,CALM,0.2,6.5,46
13113010,2023/1/2,1,,0.005,0.041,0.046,,0.004,,,,0.013,10,,W,1.3,6.5,43.5
13113010,2023/1/2,2,,0.001,0.033,0.034,,0.008,,,,0.011,10,,W,1.4,6.1,47.9
13113010,2023/1/2,3,,0.001,0.03,0.031,,0.008,,,,0.01,11,,CALM,0.2,5.3,50.8
13113010,2023/1/2,4,,0,0.026,0.026,,0.009,,,,0.01,10,,W,1.2,5,48.8
13113010,2023/1/2,5,,0,0.014,0.014,,0.018,,,,0.008,7,,S,0.4,5,46.6
13113010,2023/1/2,6,,0,0.01,0.01,,0.022,,,,0.007,6,,CALM,0.1,4.9,46.4
13113010,2023/1/2,7,,0,0.011,0.011,,0.021,,,,0.008,5,,CALM,0.1,5,46
13113010,2023/1/2,8,,0.001,0.013,0.014,,0.02,,,,0.006,6,,SSW,0.3,4.7,47.7
13113010,2023/1/2,9,,0.004,0.015,0.019,,0.019,,,,0.009,4,,W,1.2,5.6,45.6
13113010,2023/1/2,10,,0.009,0.019,0.028,,0.021,,,,0.009,7,,CALM,0.2,8.5,40.1
13113010,2023/1/2,11,,0.01,0.019,0.029,,0.026,,,,0.008,7,,SSW,0.5,11,35.4
13113010,2023/1/2,12,,0.008,0.02,0.028,,0.028,,,,0.009,9,,SSE,0.9,12.9,33.7
13113010,2023/1/2,13,,0.006,0.015,0.021,,0.033,,,,0.009,10,,SE,0.7,12.7,35.5
13113010,2023/1/2,14,,0.004,0.011,0.015,,0.038,,,,0.006,7,,ESE,0.7,13.4,33.4
13113010,2023/1/2,15,,0.003,0.012,0.015,,0.038,,,,0.011,12,,ENE,1.2,13.1,34.6
13113010,2023/1/2,16,,0.002,0.012,0.014,,0.039,,,,0.008,7,,ESE,1.2,12.7,33.4
13113010,2023/1/2,17,,0.001,0.012,0.013,,0.038,,,,0.008,8,,W,0.7,12.5,38
13113010,2023/1/2,18,,0,0.013,0.013,,0.037,,,,0.007,6,,E,0.6,12.2,37.5
13113010,2023/1/2,19,,0.001,0.022,0.023,,0.026,,,,0.011,10,,ENE,0.9,11.9,47.8
13113010,2023/1/2,20,,0.001,0.026,0.027,,0.02,,,,0.013,10,,E,0.4,11.3,52.5
13113010,2023/1/2,21,,0.001,0.031,0.032,,0.014,,,,0.013,12,,W,0.4,10.2,57.1
13113010,2023/1/2,22,,0,0.026,0.026,,0.017,,,,0.014,11,,SSW,0.3,9.9,56.5
13113010,2023/1/2,23,,0.001,0.036,0.037,,0.008,,,,0.012,9,,W,0.5,8.4,57.4
13113010,2023/1/2,24,,0,0.023,0.023,,0.016,,,,0.01,8,,S,1.5,7.5,58.9
13113010,2023/1/3,1,,0,0.007,0.007,,0.029,,,,0.006,3,,S,1,7.2,56.4
13113010,2023/1/3,2,,0,0.007,0.007,,0.027,,,,0.006,5,,SSE,0.6,6.5,58.5
13113010,2023/1/3,3,,0,0.007,0.007,,0.026,,,,0.009,6,,S,0.6,6.1,59.1
13113010,2023/1/3,4,,0,0.006,0.006,,0.027,,,,0.005,6,,SSE,0.7,5.8,60.7
13113010,2023/1/3,5,,0,0.005,0.005,,0.029,,,,0.005,3,,SSE,1,6,64.5
13113010,2023/1/3,6,,0,0.004,0.004,,0.032,,,,0.005,4,,S,0.8,6.3,63.3
13113010,2023/1/3,7,,0,0.006,0.006,,0.029,,,,0.004,5,,S,0.9,5.9,64.5
13113010,2023/1/3,8,,0,0.007,0.007,,0.027,,,,0.005,5,,S,0.7,6.1,61.2
13113010,2023/1/3,9,,0.001,0.008,0.009,,0.026,,,,0.007,5,,S,0.6,5.9,65.9
13113010,2023/1/3,10,,0.004,0.014,0.018,,0.024,,,,0.003,3,,S,1,6,63.3
13113010,2023/1/3,11,,0.005,0.015,0.02,,0.026,,,,0.006,3,,S,1,6.1,66.9
13113010,2023/1/3,12,,0.004,0.015,0.019,,0.025,,,,0.002,6,,S,0.8,6.1,71.5
13113010,2023/1/3,13,,0.005,0.016,0.021,,0.026,,,,0.007,4,,S,1,6.9,71.4
13113010,2023/1/3,14,,0.006,0.013,0.019,,0.028,,,,0.006,6,,S,0.8,7,71
13113010,2023/1/3,15,,0.004,0.011,0.015,,0.029,,,,0.009,7,,ESE,1.1,7.2,70.7
13113010,2023/1/3,16,,0.002,0.011,0.013,,0.028,,,,0.006,8,,S,1.3,7,71.8
13113010,2023/1/3,17,,0.005,0.017,0.022,,0.025,,,,0.01,7,,S,1.7,6.1,74.7
13113010,2023/1/3,18,,0.004,0.013,0.017,,0.026,,,,0.007,5,,S,1.3,6.1,75.7
13113010,2023/1/3,19,,0.004,0.017,0.021,,0.024,,,,0.009,8,,S,0.9,6.4,76
13113010,2023/1/3,20,,0.003,0.014,0.017,,0.025,,,,0.007,8,,S,1.3,6.1,76.3
13113010,2023/1/3,21,,0,0.009,0.009,,0.026,,,,0.009,7,,S,0.8,5.5,77.2
13113010,2023/1/3,22,,0,0.008,0.008,,0.027,,,,0.006,6,,SSE,0.6,5.2,74.5
13113010,2023/1/3,23,,0,0.009,0.009,,0.025,,,,0.005,7,,SSE,1.1,4.9,74.5
13113010,2023/1/3,24,,0,0.007,0.007,,0.025,,,,0.006,8,,S,0.6,4.3,75.4
13113010,2023/1/4,1,,0,0.005,0.005,,0.027,,,,0.006,5,,S,1.4,4.1,75.1
13113010,2023/1/4,2,,0,0.004,0.004,,0.028,,,,0.005,5,,SSW,1.1,4.1,75.8
13113010,2023/1/4,3,,0,0.006,0.006,,0.023,,,,0.01,11,,S,0.8,3.2,79
13113010,2023/1/4,4,,0,0.005,0.005,,0.023,,,,0.006,8,,SSE,0.7,3.7,77.4
13113010,2023/1/4,5,,0,0.005,0.005,,0.026,,,,0.004,5,,S,0.9,2.6,73.1
13113010,2023/1/4,6,,0,0.004,0.004,,0.027,,,,0.007,5,,S,2.1,2.4,67
13113010,2023/1/4,7,,0,0.004,0.004,,0.029,,,,0.006,3,,SSE,1.8,2.4,59.3
13113010,2023/1/4,8,,0.001,0.004,0.005,,0.029,,,,0.004,3,,S,1.9,2.7,55.8
13113010,2023/1/4,9,,0.002,0.007,0.009,,0.029,,,,0.004,0,,S,1.4,4.2,46.3
13113010,2023/1/4,10,,0.006,0.012,0.018,,0.028,,,,0.004,2,,SSE,0.9,5.8,40.2
13113010,2023/1/4,11,,0.007,0.011,0.018,,0.029,,,,0.004,2,,SSE,1.3,6.5,35.6
13113010,2023/1/4,12,,0.005,0.011,0.016,,0.032,,,,0.004,3,,SE,1.3,7.6,33.3
13113010,2023/1/4,13,,0.005,0.01,0.015,,0.033,,,,0,3,,S,1.3,8.9,27.4
13113010,2023/1/4,14,,0.005,0.009,0.014,,0.034,,,,0.005,4,,S,1,9.1,24.7
13113010,2023/1/4,15,,0.005,0.013,0.018,,0.032,,,,0.005,8,,SE,0.9,8.8,25.3
13113010,2023/1/4,16,,0.005,0.015,0.02,,0.03,,,,0.005,6,,SSE,0.7,8.7,25.9
13113010,2023/1/4,17,,0.005,0.022,0.027,,0.025,,,,0.004,5,,W,0.4,8.5,28
13113010,2023/1/4,18,,0.001,0.015,0.016,,0.028,,,,0.01,9,,W,0.5,7.8,35.3
13113010,2023/1/4,19,,0,0.023,0.023,,0.019,,,,0.012,11,,WSW,0.4,7.3,40
13113010,2023/1/4,20,,0,0.026,0.026,,0.017,,,,0.011,8,,W,1.7,7.1,36.7
13113010,2023/1/4,21,,0,0.016,0.016,,0.022,,,,0.006,6,,S,0.4,6.2,39
13113010,2023/1/4,22,,0,0.015,0.015,,0.02,,,,0.007,10,,S,0.9,5.5,43.4
13113010,2023/1/4,23,,0.002,0.019,0.021,,0.016,,,,0.015,14,,S,0.6,5.6,45
13113010,2023/1/4,24,,0,0.018,0.018,,0.017,,,,0.013,10,,S,0.4,4.6,47.2
13113010,2023/1/5,1,,0,0.019,0.019,,0.015,,,,0.009,9,,SW,0.6,4.1,46.5
13113010,2023/1/5,2,,0,0.017,0.017,,0.016,,,,0.008,7,,WSW,0.6,3.8,48
13113010,2023/1/5,3,,0,0.017,0.017,,0.017,,,,0.008,8,,SSW,0.7,3.6,47.1
13113010,2023/1/5,4,,0,0.016,0.016,,0.016,,,,0.009,8,,W,1,3,50.7
13113010,2023/1/5,5,,0,0.013,0.013,,0.019,,,,0.006,5,,S,0.7,2.9,49.6
13113010,2023/1/5,6,,0,0.008,0.008,,0.025,,,,0.005,6,,S,0.7,2.6,50.8
13113010,2023/1/5,7,,0.001,0.014,0.015,,0.016,,,,0.006,6,,SW,0.6,2.1,54.8
13113010,2023/1/5,8,,0.001,0.013,0.014,,0.016,,,,0.004,6,,WSW,1.3,1.8,53.3
13113010,2023/1/5,9,,0.003,0.012,0.015,,0.018,,,,0.008,6,,SW,0.9,2.8,51.5
13113010,2023/1/5,10,,0.011,0.019,0.03,,0.017,,,,0.006,8,,S,0.8,4.8,47.8
13113010,2023/1/5,11,,0.007,0.014,0.021,,0.022,,,,0.007,7,,SE,0.7,6.5,42.3
13113010,2023/1/5,12,,0.006,0.014,0.02,,0.025,,,,0.01,11,,SSE,0.9,7.7,40.6
13113010,2023/1/5,13,,0.009,0.018,0.027,,0.024,,,,0.011,11,,SW,1.1,9,39.7
13113010,2023/1/5,14,,0.008,0.023,0.031,,0.022,,,,0.013,15,,ESE,0.8,8.8,41.7
13113010,2023/1/5,15,,0.007,0.026,0.033,,0.023,,,,0.013,20,,WNW,1.2,9.4,48.6
13113010,2023/1/5,16,,0.004,0.029,0.033,,0.021,,,,0.013,18,,SSE,0.3,9.5,51.6
13113010,2023/1/5,17,,0.006,0.034,0.04,,0.017,,,,0.016,18,,WNW,0.5,9.6,56.1
13113010,2023/1/5,18,,0.004,0.042,0.046,,0.008,,,,0.018,19,,SE,0.6,8.9,58.4
13113010,2023/1/5,19,,0.014,0.052,0.066,,0.002,,,,0.02,24,,SSW,0.5,8.3,60.1
13113010,2023/1/5,20,,0.011,0.05,0.061,,0.002,,,,0.019,22,,W,1.8,7.1,59.9
13113010,2023/1/5,21,,0.009,0.048,0.057,,0.001,,,,0.02,23,,W,0.8,6.6,57
13113010,2023/1/5,22,,0.004,0.039,0.043,,0.004,,,,0.022,23,,SSE,0.6,5.6,55.6
13113010,2023/1/5,23,,0.001,0.025,0.026,,0.013,,,,0.021,21,,S,0.3,5.1,54.4
13113010,2023/1/5,24,,0,0.022,0.022,,0.014,,,,0.016,20,,SSE,0.3,5,52.4
13113010,2023/1/6,1,,-,-,-,,-,,,,0.018,19,,CALM,0.2,4.7,53.6
13113010,2023/1/6,2,,0,0.019,0.019,,0.014,,,,0.017,17,,SSW,0.4,5,52.8
13113010,2023/1/6,3,,0,0.014,0.014,,0.019,,,,0.014,14,,SW,0.4,5,52.1
13113010,2023/1/6,4,,0,0.016,0.016,,0.016,,,,0.013,14,,SSW,0.5,4.5,51.6
13113010,2023/1/6,5,,0,0.014,0.014,,0.017,,,,0.014,15,,CALM,0.2,4.2,53.2
13113010,2023/1/6,6,,0.001,0.02,0.021,,0.011,,,,0.014,12,,SSE,0.3,4.3,54.7
13113010,2023/1/6,7,,0.002,0.023,0.025,,0.008,,,,0.015,12,,S,0.4,4.4,54.7
13113010,2023/1/6,8,,0.01,0.03,0.04,,0.003,,,,0.012,13,,SSW,0.3,4.8,54.4
13113010,2023/1/6,9,,0.022,0.032,0.054,,0.005,,,,0.015,13,,SSE,0.7,5.8,49.5
13113010,2023/1/6,10,,0.027,0.036,0.063,,0.006,,,,0.016,15,,SE,0.7,6.5,48.6
13113010,2023/1/6,11,,0.028,0.038,0.066,,0.007,,,,0.013,16,,S,0.7,6.9,50.4
13113010,2023/1/6,12,,0.04,0.039,0.079,,0.007,,,,0.019,17,,SSE,0.6,8.5,46.5
13113010,2023/1/6,13,,0.04,0.044,0.084,,0.005,,,,0.021,24,,SSE,0.6,8.3,50.4
13113010,2023/1/6,14,,0.04,0.046,0.086,,0.004,,,,0.021,25,,SSE,0.7,7.1,61.5
13113010,2023/1/6,15,,0.039,0.048,0.087,,0.004,,,,0.02,23,,SSE,0.8,7.1,62.7
13113010,2023/1/6,16,,0.034,0.049,0.083,,0.002,,,,0.025,29,,WSW,0.5,6.1,81.2
13113010,2023/1/6,17,,0.031,0.048,0.079,,0.002,,,,0.028,31,,S,1.3,5.2,86.2
13113010,2023/1/6,18,,0.02,0.043,0.063,,0.004,,,,0.029,28,,S,0.9,4.5,86.7
13113010,2023/1/6,19,,0.014,0.042,0.056,,0.006,,,,0.025,31,,SSW,0.6,4.5,88.1
13113010,2023/1/6,20,,0.007,0.035,0.042,,0.007,,,,0.025,26,,SSE,0.6,4.4,90.3
13113010,2023/1/6,21,,0.001,0.021,0.022,,0.017,,,,0.019,21,,SSE,1.2,4.2,91.1
13113010,2023/1/6,22,,0,0.016,0.016,,0.023,,,,0.015,17,,SE,0.7,5,91.9
13113010,2023/1/6,23,,0,0.013,0.013,,0.027,,,,0.012,14,,SE,0.3,6.4,92.2
13113010,2023/1/6,24,,0,0.011,0.011,,0.028,,,,0.008,9,,SSE,0.8,6.4,90.1
13113010,2023/1/7,1,,0.001,0.014,0.015,,0.026,,,,0.009,8,,ESE,0.4,6.9,87.5
13113010,2023/1/7,2,,0,0.013,0.013,,0.025,,,,0.01,8,,W,0.8,5.6,87.4
13113010,2023/1/7,3,,0,0.016,0.016,,0.019,,,,0.011,13,,CALM,0.2,6.1,88.4
13113010,2023/1/7,4,,0.001,0.019,0.02,,0.015,,,,0.009,11,,CALM,0.2,8.7,80.1
13113010,2023/1/7,5,,0.001,0.013,0.014,,0.023,,,,0.005,3,,WSW,0.3,8.3,76.9
13113010,2023/1/7,6,,0,0.016,0.016,,0.018,,,,0.005,7,,ESE,0.4,7.7,83.1
13113010,2023/1/7,7,,0.003,0.026,0.029,,0.009,,,,0.01,7,,W,0.5,7.3,85.5
13113010,2023/1/7,8,,0.017,0.033,0.05,,0.002,,,,0.012,12,,SE,0.3,7.9,85.6
13113010,2023/1/7,9,,0.009,0.031,0.04,,0.014,,,,0.007,3,,SE,0.6,9,66.6
13113010,2023/1/7,10,,0.011,0.035,0.046,,0.023,,,,0.005,4,,WSW,0.9,9.5,61.2
13113010,2023/1/7,11,,0.025,0.049,0.074,,0.018,,,,0.009,6,,W,1.1,9.8,64.4
13113010,2023/1/7,12,,0.026,0.047,0.073,,0.021,,,,0.007,4,,WSW,0.7,10.6,56.4
13113010,2023/1/7,13,,0.006,0.018,0.024,,0.035,,,,0.008,6,,SSE,0.4,12.3,54.8
13113010,2023/1/7,14,,0.007,0.023,0.03,,0.032,,,,0.012,14,,N,1.2,11.8,55.7
13113010,2023/1/7,15,,0.009,0.034,0.043,,0.027,,,,0.012,10,,SE,1,11.9,53
13113010,2023/1/7,16,,0.01,0.043,0.053,,0.019,,,,0.012,9,,SSE,0.5,12,56.8
13113010,2023/1/7,17,,0.008,0.047,0.055,,0.014,,,,0.01,11,,CALM,0.2,11.3,60
13113010,2023/1/7,18,,0.016,0.059,0.075,,0.004,,,,0.014,11,,W,1.2,10.8,64.1
13113010,2023/1/7,19,,0.031,0.066,0.097,,0.007,,,,0.01,6,,W,3.4,10.5,39.2
13113010,2023/1/7,20,,0.008,0.021,0.029,,0.029,,,,0.003,-3,,W,4.1,9.9,27
13113010,2023/1/7,21,,0,0.006,0.006,,0.036,,,,0.003,1,,W,2.6,9.4,27.1
13113010,2023/1/7,22,,0,0.008,0.008,,0.033,,,,0.006,3,,W,1.8,8.4,32.7
13113010,2023/1/7,23,,0,0.01,0.01,,0.031,,,,0.005,2,,W,1.5,8,33.5
13113010,2023/1/7,24,,0,0.01,0.01,,0.029,,,,0.003,3,,W,0.7,7.5,33.9
13113010,2023/1/8,1,,0.001,0.01,0.011,,0.029,,,,0.001,2,,W,1.4,7.2,33.8
13113010,2023/1/8,2,,0.001,0.01,0.011,,0.027,,,,0.003,1,,W,1.1,6.7,35.1
13113010,2023/1/8,3,,0,0.009,0.009,,0.029,,,,0.002,3,,W,1.2,6.2,32.9
13113010,2023/1/8,4,,0,0.005,0.005,,0.033,,,,0.003,1,,W,1.1,6.5,30.3
13113010,2023/1/8,5,,0,0.007,0.007,,0.031,,,,0.004,2,,WNW,0.8,6.3,32.1
13113010,2023/1/8,6,,0,0.013,0.013,,0.024,,,,0.003,2,,W,1.4,6.1,33.3
13113010,2023/1/8,7,,0.001,0.018,0.019,,0.02,,,,0.004,3,,WNW,0.8,5.6,34.9
13113010,2023/1/8,8,,0.004,0.026,0.03,,0.013,,,,0.005,4,,W,0.9,5.2,39.7
13113010,2023/1/8,9,,0.015,0.03,0.045,,0.012,,,,0.007,2,,WSW,0.8,6.6,34.6
13113010,2023/1/8,10,,-,-,-,,-,,,,-,-,,WSW,1,9,30.9
13113010,2023/1/8,11,,0.019,0.027,0.046,,0.02,,,,0.004,3,,SW,1,10.4,27
13113010,2023/1/8,12,,0.005,0.009,0.014,,0.031,,,,0.005,7,,W,1.5,10.6,27.7
13113010,2023/1/8,13,,0.002,0.007,0.009,,0.035,,,,0.008,5,,WSW,1.1,10,29.2
13113010,2023/1/8,14,,0.005,0.012,0.017,,0.032,,,,0.006,7,,W,1.2,10.4,27.6
13113010,2023/1/8,15,,0.011,0.024,0.035,,0.025,,,,0.006,6,,SSE,0.7,10.5,30
13113010,2023/1/8,16,,0.012,0.032,0.044,,0.019,,,,0.011,6,,SE,1,10.2,29.7
13113010,2023/1/8,17,,0.006,0.024,0.03,,0.023,,,,0.008,6,,SSE,0.8,9.7,30.3
13113010,2023/1/8,18,,0.009,0.037,0.046,,0.015,,,,0.008,8,,W,0.3,9.1,30.9
13113010,2023/1/8,19,,0.001,0.015,0.016,,0.026,,,,0.007,7,,WSW,1.2,7.5,35
13113010,2023/1/8,20,,0.001,0.013,0.014,,0.026,,,,0.011,8,,NW,0.9,6.9,36.5
13113010,2023/1/8,21,,0.002,0.015,0.017,,0.023,,,,0.011,9,,W,0.9,6.2,38.9
13113010,2023/1/8,22,,0.002,0.019,0.021,,0.02,,,,0.01,8,,W,0.8,5.8,41.2
13113010,2023/1/8,23,,0.001,0.02,0.021,,0.018,,,,0.006,8,,WNW,0.7,5.6,39.8
13113010,2023/1/8,24,,0.001,0.021,0.022,,0.018,,,,0.006,7,,W,0.7,5.4,40
13113010,2023/1/9,1,,0.001,0.015,0.016,,0.023,,,,0.005,6,,NW,1.1,5.3,39.9
13113010,2023/1/9,2,,0.001,0.012,0.013,,0.026,,,,0.007,7,,W,0.9,5.3,40
13113010,2023/1/9,3,,0.001,0.007,0.008,,0.03,,,,0.007,5,,WNW,1.1,5.2,39.6
13113010,2023/1/9,4,,0.001,0.006,0.007,,0.03,,,,0.003,5,,WSW,0.9,5,38.8
13113010,2023/1/9,5,,0.001,0.007,0.008,,0.029,,,,0.005,6,,WNW,0.9,4.5,41
13113010,2023/1/9,6,,0.001,0.011,0.012,,0.026,,,,0.008,5,,WNW,1.4,4.6,40.5
13113010,2023/1/9,7,,0.001,0.014,0.015,,0.023,,,,0.007,6,,WSW,0.7,4.8,40
13113010,2023/1/9,8,,0.004,0.02,0.024,,0.018,,,,0.009,6,,W,1,4.4,42
13113010,2023/1/9,9,,0.011,0.023,0.034,,0.017,,,,0.01,5,,WSW,1.1,6.1,36.6
13113010,2023/1/9,10,,0.009,0.017,0.026,,0.024,,,,0.008,8,,NW,1.1,7.7,35.4
13113010,2023/1/9,11,,0.009,0.016,0.025,,0.027,,,,0.009,8,,SW,0.9,9.8,30.7
13113010,2023/1/9,12,,0.007,0.012,0.019,,0.033,,,,0.012,12,,WSW,1.3,11,29.4
13113010,2023/1/9,13,,0.009,0.017,0.026,,0.034,,,,0.012,10,,WSW,0.9,12.3,27.2
13113010,2023/1/9,14,,0.015,0.026,0.041,,0.03,,,,0.014,12,,W,2.1,13,22.8
13113010,2023/1/9,15,,0.017,0.035,0.052,,0.028,,,,0.006,9,,W,2.6,12.7,14.3
13113010,2023/1/9,16,,0.018,0.037,0.055,,0.028,,,,0.002,1,,W,1.6,12.1,13
13113010,2023/1/9,17,,0.002,0.012,0.014,,0.035,,,,0.01,6,,WSW,1.8,9.8,25.6
13113010,2023/1/9,18,,0.002,0.011,0.013,,0.034,,,,0.008,5,,W,1,8.7,28.6
13113010,2023/1/9,19,,0.009,0.027,0.036,,0.025,,,,0.006,6,,W,1.1,7.9,30.1
13113010,2023/1/9,20,,0.001,0.011,0.012,,0.031,,,,0.003,5,,S,0.7,7.3,28.1
13113010,2023/1/9,21,,0.001,0.012,0.013,,0.028,,,,0.005,3,,SW,1,6.3,32.1
13113010,2023/1/9,22,,0.001,0.015,0.016,,0.025,,,,0.007,4,,W,1.2,5.8,31.4
13113010,2023/1/9,23,,0.001,0.016,0.017,,0.025,,,,0.006,4,,S,0.4,5.1,29.3
13113010,2023/1/9,24,,0.001,0.012,0.013,,0.028,,,,0.002,4,,W,1.5,4.7,27.5
13113010,2023/1/10,1,,0.001,0.011,0.012,,0.029,,,,0.002,1,,W,1.2,4.3,24
13113010,2023/1/10,2,,0.001,0.008,0.009,,0.031,,,,0.003,3,,W,1.5,3.7,24
13113010,2023/1/10,3,,0.001,0.006,0.007,,0.033,,,,0.003,2,,W,1.3,3.9,21.8
13113010,2023/1/10,4,,0.001,0.005,0.006,,0.034,,,,0.002,1,,WSW,0.7,3.6,23.6
13113010,2023/1/10,5,,0.001,0.005,0.006,,0.035,,,,0.001,1,,WSW,1.2,3,25.9
13113010,2023/1/10,6,,0.001,0.005,0.006,,0.034,,,,0.002,2,,W,1.2,3,26.2
13113010,2023/1/10,7,,0.001,0.008,0.009,,0.031,,,,0.004,3,,W,1.3,2.6,28.3
13113010,2023/1/10,8,,0.002,0.014,0.016,,0.026,,,,0.003,2,,W,1.4,3.3,27.9
13113010,2023/1/10,9,,0.006,0.018,0.024,,0.025,,,,0.006,0,,WSW,1.2,4.7,24
13113010,2023/1/10,10,,0.01,0.018,0.028,,0.026,,,,0.004,4,,WSW,0.9,6,21.3
13113010,2023/1/10,11,,0.013,0.021,0.034,,0.028,,,,0.003,5,,SW,1.7,7.4,20
13113010,2023/1/10,12,,0.012,0.018,0.03,,0.03,,,,0.003,3,,WSW,2.2,7.8,22.8
13113010,2023/1/10,13,,0.012,0.02,0.032,,0.031,,,,0.002,3,,W,3.6,8.1,22.3
13113010,2023/1/10,14,,0.013,0.02,0.033,,0.031,,,,0.003,3,,W,2.8,9,22.7
13113010,2023/1/10,15,,0.012,0.021,0.033,,0.03,,,,0.003,5,,W,2.6,8.7,22.5
13113010,2023/1/10,16,,0.011,0.021,0.032,,0.028,,,,0.004,2,,WSW,1.8,8.4,22.2
13113010,2023/1/10,17,,0.012,0.028,0.04,,0.025,,,,0.004,2,,W,2.2,7.9,22.9
13113010,2023/1/10,18,,0.013,0.034,0.047,,0.02,,,,0.002,7,,S,1.2,6.5,34.1
13113010,2023/1/10,19,,0.01,0.028,0.038,,0.021,,,,0.004,2,,W,1.2,6.1,36.4
13113010,2023/1/10,20,,0.007,0.022,0.029,,0.023,,,,0.005,3,,W,1.6,5.6,39.1
13113010,2023/1/10,21,,0.001,0.014,0.015,,0.025,,,,0.004,5,,WSW,1.1,5,42.9
13113010,2023/1/10,22,,0.001,0.017,0.018,,0.022,,,,0.009,4,,W,1.8,4.6,43.1
13113010,2023/1/10,23,,0.002,0.021,0.023,,0.018,,,,0.003,7,,WSW,1,4.5,43.5
13113010,2023/1/10,24,,0.002,0.021,0.023,,0.018,,,,0.005,3,,W,1.9,4,43
13113010,2023/1/11,1,,0.001,0.024,0.025,,0.014,,,,0.005,9,,W,1.2,3.7,42.1
13113010,2023/1/11,2,,0.002,0.028,0.03,,0.01,,,,0.008,7,,W,1.1,3.4,42.2
13113010,2023/1/11,3,,0.003,0.03,0.033,,0.006,,,,0.007,6,,WSW,0.9,3.4,40.4
13113010,2023/1/11,4,,0.001,0.021,0.022,,0.014,,,,0.004,6,,WSW,0.7,3.6,37.4
13113010,2023/1/11,5,,0.001,0.019,0.02,,0.016,,,,0.002,4,,WSW,0.8,2.8,39
13113010,2023/1/11,6,,0.002,0.024,0.026,,0.009,,,,0.005,5,,W,0.7,2.1,41.2
13113010,2023/1/11,7,,0.002,0.022,0.024,,0.01,,,,0.002,5,,CALM,0.2,2.7,40.5
13113010,2023/1/11,8,,0.007,0.027,0.034,,0.009,,,,0.004,5,,W,2.5,3.5,36.8
13113010,2023/1/11,9,,0.01,0.022,0.032,,0.017,,,,0,3,,W,1.8,5.6,32.5
13113010,2023/1/11,10,,0.016,0.027,0.043,,0.019,,,,0.006,4,,W,2,7.2,30.1
13113010,2023/1/11,11,,0.011,0.02,0.031,,0.026,,,,0.005,5,,SSW,0.8,8.9,27.8
13113010,2023/1/11,12,,0.007,0.013,0.02,,0.032,,,,0.004,4,,S,1.7,10.4,25.8
13113010,2023/1/11,13,,0.006,0.01,0.016,,0.035,,,,0.004,4,,S,0.8,10.7,25.9
